Title,ingredients
Artichokes with Bagna Cauda,"heads garlic, separated, papery skin removed, butter, - tin anchovy fillets, drained, anchovies, extra-virgin olive oil, artichokes, stems trimmed, top inch removed, tips remaining trimmed"
"Rosemary and Mustard Pork Loin with Baby Artichokes, Shallots, and Vermouth Jus","lemons, garlic ; peeled, unpeeled, rosemary, salt, freshly black pepper, grain Dijon mustard, baby artichokes, Nonstick vegetable oil spray, - boneless pork loin, shallots, peeled, olive oil, dry vermouth or dry white wine, low-salt chicken broth"
"Grilled Leg of Lamb with Rosemary, Garlic, and Mustard","well-trimmed - boneless leg lamb, butterflied to even -inch thickness, garlic, peeled, divided, grain Dijon mustard, extra-virgin olive oil, dry white wine, finely rosemary, lemon juice, Nonstick vegetable oil spray, rosemary and Italian parsley"
"Scrambled Eggs with Leeks, Fava Beans, Crispy Breadcrumbs, and Parmesan","coarsely torn French bread, olive oil, Fine sea salt, peeled fava beans or frozen, eggs, crème fraîche or sour cream, fine sea salt, butter, leeks, Wedge Parmesan cheese"
Chocolate Mayonnaise Cake,"bittersweet chocolate, unsweetened cocoa powder, boiling water, all purpose flour, baking soda, baking powder, sugar, dark brown sugar, mayonnaise, eggs, vanilla extract, bittersweet chocolate, butter, room temperature, powdered sugar, vanilla extract, Three -inch-diameter cake pans with -inch-high sides"
Curry-Spiced Bloody Marys,"tomato juice, vodka, lemon juice, lime juice, balsamic vinegar, plus Madras curry powder, fine sea salt, freshly black pepper, ice, Celery"
Leek and Ginger Matzo Balls in Lemongrass Consommé,"chickens, quartered, lemongrass stalks, halved lengthwise, cut into -inch, celery stalks, cut into -inch, garlic, peeled, halved, Peel lime, cut off in strips with vegetable peeler, white onion, - to -inch leek, halved lengthwise, -inch-long ginger, peeled, halved, lemon juice, eggs, finely leek, chicken fat, cooled, chicken broth or club soda, coarse kosher salt, finely grated peeled ginger, freshly black pepper, matzo meal, chives"
New York-Style Crumb Cake,"dark brown sugar, sugar, cinnamon, salt, butter, warm, all purpose flour, all purpose flour, baking soda, baking powder, salt, butter, room temperature, sugar, eggs, sour cream, vanilla extract"
Frisée and Wild Mushroom Salad with Poached Egg,"assorted wild mushrooms, thickly, extra-virgin olive oil, divided, Coarse kosher salt, lemon juice, divided, eggs, heads frisée, torn into clumps, bunches French breakfast radishes or other radishes, trimmed, thinly on diagonal"
Slow-Roasted Halibut with Shaved Asparagus and Fennel Salad,"lemon juice, Dijon mustard, extra-virgin olive oil, drained capers, asparagus spears, trimmed, thinly fennel bulb, Nonstick vegetable oil spray, breadcrumbs made from crustless French bread, finely grated Parmesan cheese, finely Italian parsley, finely thyme, finely grated lemon peel, butter, - halibut fillets"
Lime Angel Food Cake with Lime Glaze and Pistachios,"cake flour, superfine sugar, divided, salt, egg whites, room temperature, finely grated lime peel, vanilla extract, cream tartar, sugar, lime juice, divided, raw pistachios, finely in processor, powdered sugar, -inch-diameter angel food cake pan with -inch-high sides and removable bottom"
Maple Cake with Maple Syrup Frosting,"all purpose flour, baking powder, salt, butter, room temperature, non-hydrogenated solid vegetable shortening, room temperature, pure maple syrup, egg yolks, egg, milk, walnuts, toasted, coarsely, powdered sugar, - cream cheese, room temperature, butter, room temperature, pure maple syrup, Toasted walnut halves, Two -inch-diameter cake pans with -inch-high sides"
Brown-Sugar-Glazed Bacon,"applewood-smoked bacon or thick-cut bacon, golden brown sugar"
Farmstand Tomato Soup with Arugula Pesto,"or very ripe tomatoes, cored, olive oil, shallots, coarsely, garlic, fire-roasted tomatoes, kosher salt, sugar, to heavy whipping cream, good-quality vodka, pine nuts, baby arugula, garlic, coarsely, kosher salt, freshly squeezed lemon juice, extra-virgin olive oil, freshly grated Parmesan cheese"
White Balsamic-Jicama Slaw,"head napa cabbage, carrots, grated on the holes, jicama, peeled and cut into matchsticks, bunch green onions, white part only, Granny Smith apples, peeled, cored, and cut into matchsticks, currants or cranberries, garlic, freshly squeezed lime juice, honey, canola oil, Dijon mustard, white balsamic vinegar, mayonnaise, fennel seeds"
Double-Dipped Buttermilk Fried Chicken,"buttermilk, thyme, Tabasco sauce, Worcestershire sauce, kosher salt, freshly black pepper, frying chickens, cut up, all-purpose flour, Cajun seasoning, Olive oil or vegetable oil, for frying"
Grilled Corn with Lime-Cilantro Butter,"butter, softened, freshly squeezed lime juice, lime zest, sugar, salt, cilantro, ears corn, shucked"
Banana Upside-Down Cake,"butter, packed light brown sugar, dark rum, just-ripe bananas, halved lengthwise and cut into -inch, all-purpose flour, baking powder, cinnamon, grated nutmeg, salt, butter, softened, granulated sugar, eggs, dark rum, pure vanilla extract, milk, a well-seasoned -inch cast-iron skillet"
Winter Vegetable Soup,"onion, Turkish or California bay, olive oil, carrot, thinly, celery rib, thinly, tomato paste, sweet potato, peeled and cubed, Yukon Gold or boiling potatoes, peeled and cubed, reduced-sodium vegetable or chicken broth, water, frozen peas, dill"
"Egg, Potato, and Prosciutto Pie","frozen puff pastry, thawed, onions, finely, olive oil, to thinly prosciutto, boiling potato, eggs"
Baked Apples with Candied Fennel and Pistachios,"fennel bulb, cut into -inch, sugar, water, strips lemon zest, fennel seeds, Gala apples, shelled pistachios, coarsely, golden raisins, to lemon juice, divided, butter, cut into"
Frozen Peanut Butter Pie with Candied Bacon,"bacon, sugar, divided, cinnamon, About chocolate wafers, finely in a blender or food processor, butter, milk, creamy peanut butter, pure vanilla extract, chilled heavy cream, roasted peanuts, finely, a -inch pie plate"
Buttermilk French Toast,"well-shaken buttermilk, eggs, sugar, salt, challah, butter, divided, warm maple syrup"
Mussels with Garam Masala,"extra-virgin olive oil, onion, fennel bulb, trimmed and finely, reserving fronds, garlic, garam masala, hot red-pepper flakes, tomatoes in juice, well-stirred canned unsweetened coconut milk, cultivated mussels, scrubbed, basil, finely, Accompaniment: naan or crusty bread"
Pumpkin Potato Puree,"boiling potatoes, butter, cut into, canned pure pumpkin, milk, warmed, Italian Fontina cheese, finely sage, cider vinegar, grated nutmeg"
Chicken and Celery Pot Stickers,"celery ribs, reserved, garlic, dark meat chicken, low-sodium soy sauce, divided, Asian sesame oil, wonton or gyoza wrappers, rice vinegar, vegetable oil, water"
Onion Anchovy Galette,"all-purpose flour, cold butter, cut into -inch cubes, salt, to ice water, onions, olive oil, butter, to anchovy fillets, garlic, tomato paste, thyme, crumbled"
Chewy Nut and Cereal Bars,"almonds, sesame seeds, mild honey, packed light brown sugar, vegetable oil, crisp rice cereal, roasted cashews, coarsely, egg whites"
Lemon Sabayon with Grapefruit,"grapefruits, eggs, egg yolks, sugar, lemon juice, cold butter, cut in half"
Scallion Crusted Artic Char,"to scallions, mayonnaise, arctic char fillet"
Turkey and Apricot Meatloaf,"coarse bread crumbs, milk, celery ribs, finely, carrot, finely, onion, finely, garlic, finely, ancho chile powder, extra-virgin olive oil, dark-meat turkey, California apricots, finely, flat- parsley, apricot preserves, divided, soy sauce, divided, Worcestershire sauce, eggs, lightly beaten, water"
Tuscan Turkey Soupy Noodles,"Carcass from a - to - roast turkey, including skin, or turkey wings, quarts water, leeks, greens reserved and white and pale green parts washed and, garlic, finely, olive oil, onion, rosemary, carrots, celery ribs, tomatoes in juice, drained and, egg pasta squares, or no-boil egg lasagne sheets, broken into roughly - to -inch, to baby spinach, grated Parmigiano-Reggiano"
Potato Samosa Phyllo Triangles,"Yukon Gold or boiling potatoes, onion, garam masala, cumin seeds, coriander seeds, vegetable oil, frozen peas, thawed, phyllo sheets, thawed if frozen, butter, and cooled, Indian chutney"
"Fruit Salad with Herb, Citrus, Mint-Maple, or Basic Syrup","pint strawberries, hulled and halved, half-pint raspberries, half-pint blueberries or blackberries, oranges, peeled and cut into sections, kiwis, peeled and cut into chunks, mango, peeled, pitted, and cut into chunks, papaya, peeled, pitted, and cut into chunks, pineapple cut into chunks, cantaloupe or honeydew melon cut into chunks, mint, julienned, Basic, Herb, Mint-Maple or Citrus syrups, rosemary or mint if you're using Herb Syrup"
Sour-Cream Pancakes with Sour-Cream Maple Syrup,"Scant sour cream, pure maple syrup, butter, cut into, all-purpose flour, sugar, baking soda, salt, sour cream, milk, egg, butter, plus additional for cooking pancakes"
Chorizo Hash Browns,"onion, finely, scallions, finely, garlic, extra-virgin olive oil, divided, russet potatoes, to Spanish chorizo, casing removed and sausage finely, flat- parsley, paprika, butter"
Dulce de Leche and Nut–Butter Truffles,"%-cacao bittersweet chocolate, finely, dulce de leche at room temperature, well-stirred natural almond butter or peanut butter, to unsweetened cocoa powder, %-cacao bittersweet chocolate, finely"
Provençal Braised Lamb Chops,"lamb shoulder chops, extra-virgin olive oil, garlic, thinly lengthwise, onions, Turkish or California bay, dry white wine, boiling potatoes, thyme, oil-cured black olives, reduced-sodium chicken broth"
Creamy Fennel and Greens Soup,"olive oil, butter, fennel bulb, trimmed and, onion, mixed dark leafy greens such as collard and beet, coarse stems and center ribs discarded and, water, baby spinach, heavy cream, lemon juice, Garnish: fennel fronds or dill"
Glazed Chocolate Cake with Sprinkles,"all-purpose flour, unsweetened Dutch-process cocoa powder, baking soda, baking powder, salt, butter, softened, packed light brown sugar, eggs at room temperature minutes, pure vanilla extract, milk, heavy cream, bittersweet chocolate, finely, light corn syrup, Colorful confectionary sprinkles and/or nonpareils, a - by -inch round cake pan"
Ginger Scallion Egg-Drop Soup,"scallions, divided, water, reduced-sodium chicken broth, peeled ginger, skinless boneless chicken breast half, eggs, lightly beaten, white pepper, Asian sesame oil"
Corn Dogs,"hot dogs, plus all-purpose flour, divided, About vegetable oil, divided, cornmeal, baking powder, sugar, baking soda, cayenne, eggs, well-shaken buttermilk, Equipment: a grill pan; wooden ice-pop ; a deep-fat thermometer, wooden ice-pop, a deep-fat thermometer, Accompaniments: ketchup and mustard, mustard"
Frozen Fudge Pops,"low-fat milk, sugar, unsweetened cocoa powder, light corn syrup, pure vanilla extract, Equipment: or ice pop molds and or wooden"
Roasted Mustard Tarragon Chicken,"chicken, bunch tarragon, divided, plus Dijon mustard, divided, all-purpose flour, water, heavy cream, kitchen string"
Homemade Ginger Ale,"peeled ginger, water, sugar, About quart chilled seltzer or club soda, About lime juice"
Brown Sugar Berry Cobbler,"to plus packed dark brown sugar, divided, cornstarch, mixed berries, all-purpose flour, baking powder, Rounded salt, cold butter, cut into, milk, granulated sugar"
Chocolate Cherry Bombe,"walnuts, toasted, cooled, and, lightly chocolate wafer cookies, pints cherry or cherry vanilla ice cream, softened slightly, pint chocolate ice cream, softened slightly, bittersweet chocolate, finely, butter, cut into, vegetable oil, maraschino cherry with stem, a - to -quart bowl"
Lebanese Style Stuffed Eggplant,"bambino eggplants, long-grain or jasmine rice, olive oil, pine nuts, onion, finely, garlic, finely, chicken stock or reduced-sodium chicken broth, tomatoes in juice, lamb or beef chuck, allspice, lemon, flat- parsley"
Chocolate Pudding Pie,"all-purpose flour, cold butter, cut into -inch cubes, cold vegetable shortening, salt, to ice water, cornstarch, plus sugar, divided, unsweetened cocoa powder, salt, milk, bittersweet chocolate, finely, pure vanilla extract, chilled heavy cream, Equipment: pie weights or beans, Garnish: bittersweet chocolate shavings"
Pasta with Pesto My Way,"zucchini, boiling potatoes, peeled, rotini or penne, green beans, trimmed and halved, ears corn, kernels cut off, olive oil, pint cherry tomatoes, Kemp's pesto, Toasted bread-crumb topping for pasta, an adjustable-blade slicer with -inch julienne attachment"
Buttermilk Pudding Cake with Maple Raspberries,"all-purpose flour, salt, well-shaken buttermilk, butter, and cooled, eggs, separated, sugar, divided, half-pints raspberries, pure maple syrup"
Ziti with Poblanos and Chipotle Sauce,"onion, thinly, poblano chiles, stemmed, seeded, and thinly lengthwise, olive oil, bottled roasted red peppers, ziti or penne, canned chipotles in adobo, sour cream, scallions, cilantro, raw green pumpkin seeds, toasted"
Cardamom Milk Pudding,"milk, green or white cardamom pods, slightly, arrowroot, sugar, pistachios or walnuts"
Mussels in Green Peppercorn Sauce,"shallots, butter, green peppercorns, dry white wine, cultivated mussels, scrubbed, heavy cream, flat- parsley"
Chipotle Braised Chicken,"onion, halved lengthwise, then thinly lengthwise, garlic, Turkish or California bay, butter, olive oil, divided, chicken parts, chipotle chile powder, water, lime juice, cilantro, lime wedges"
Chicken Salad with Grapes and Walnuts,"chicken tenders, water, reduced-sodium chicken broth, plain yogurt, mayonnaise, Dijon mustard, seedless grapes, halved crosswise, coarsely walnuts, drained capers"
Green-Peppercorn Cornmeal Crackers,"-wheat flour, all-purpose flour, cornmeal, baking powder, baking soda, packed light brown sugar, green peppercorns, coarsely, divided, table salt, cold butter, cut into, well-shaken buttermilk, kosher salt, egg, beaten"
Chocolate Chipotle Shortbread,"all-purpose flour, unsweetened cocoa powder, chipotle chile powder, cinnamon, salt, butter, softened, superfine granulated sugar"
Warm Herbed Coriander Rice Salad,"long-grain brown basmati rice, rinsed, cold water, vegetable oil, divided, coriander seeds, slightly, cumin seeds, slightly, garlic, zucchini, cut into -inch, mixed herbs such as cilantro, parsley, and mint, lemon juice, pecans, toasted and coarsely"
Homemade Ginger Beer,"About ginger, peeled, sugar, lemon juice, active dry yeast, About quarts water, a Microplane grater; a funnel; a clean - plastic bottle with cap"
Guava and Cream Cheese Pastry,"egg, water, cream cheese, softened, sugar, pure vanilla extract, guava preserves or paste, lemon juice, sheet frozen puff pastry, thawed"
Picadillo Arepa Pie,"onion, finely, garlic, olive oil, beef chuck, raisins, tomato sauce, water, pimento-stuffed green olives, cumin, cinnamon, white arepa flour, all-purpose flour, baking powder, baking soda, salt, cold butter, cut into, well-shaken buttermilk"
Zucchini Bacon Fritters With Basil-Mayo Dipping Sauce,"basil, mayonnaise, water, lemon juice, About vegetable oil for frying, all-purpose flour, baking powder, cayenne, zucchini, jalapeño, stemmed and, finely chives, egg, lightly beaten, milk, crisp-cooked bacon, finely, A deep-fat thermometer"
Fudgy Coffee Brownies,"butter, unsweetened chocolate, instant-espresso powder, sugar, pure vanilla extract, eggs, all-purpose flour, cinnamon, salt"
Classic Sole Meunière,"all purpose flour, sole fillets, Coarse kosher salt, Freshly black pepper, vegetable oil or canola oil, butter, butter, cut into, Italian parsley, lemon juice, Lemon wedges"
"Poblano, Potato, and Corn Gratin","olive oil, divided, poblano chiles, * stemmed, seeded, cut into x -inch strips, Yukon Gold potatoes, peeled, cut into -inch-thick rounds, frozen corn kernels, thawed, coarsely grated Oaxaca cheese or -milk mozzarella cheese, divided, half and half, all purpose flour, salt, freshly black pepper"
"Beet, Rhubarb, and Orange Salad","- to -inch-diameter red or yellow beets, each color if available, extra-virgin olive oil, divided, Coarse kosher salt, water, sugar, trimmed rhubarb stalks, cut diagonally into -inch-thick, oranges, unseasoned rice vinegar, lemon juice, shallot, honey, watercress, coarsely crumbled feta cheese, chervil"
Moroccan Carrot Soup,"butter, white onion, carrots, peeled, cut into -inch dice, low-salt chicken broth, cumin seeds, honey, lemon juice, allspice, plain yogurt, stirred to loosen"
White-Chocolate-Dipped Strawberries with Citrus Sugar,"sugar, finely grated orange peel, finely grated lemon peel, high-quality white chocolate, ripe strawberries"
Cherry Tomato Pizza Margherita,"- tube refrigerated pizza dough, extra-virgin olive oil, - bag cherry tomatoes, stemmed, garlic, pressed, fennel seeds, coarsely in plastic bag, red pepper, - ball mozzarella in water, -milk mozzarella, basil plus for garnish"
Sautéed Savoy Cabbage with Scallions and Garlic,"bunch scallions, garlic, olive oil, Savoy cabbage, cored and thinly, water"
"Herbed Polenta ""Fries""","Olive oil for brushing, cold water, polenta, sage, rosemary, grated Parmigiano-Reggiano, butter, cut into bits"
Peanut Butter Chocolate Eggs,"bittersweet chocolate, tempered, bittersweet chocolate, Generous smooth peanut butter"
Chocolate Marshmallow Eggs,"cornstarch, plus light corn syrup, sugar, water, unflavored powdered gelatin, or drops concentrated natural oil such as peppermint or orange, bittersweet chocolate, tempered"
Molded Chocolate Bunny,"cocoa butter, Food coloring powder, bittersweet chocolate, tempered"
Pot Stickers,"water, salt plus, baking soda, bok choy stalks, firmly packed bok choy, pork, finely scallions, peeled and grated ginger, white rice wine, egg, lightly beaten, light soy sauce, sesame oil, sugar, white pepper, cornstarch, Pillsbury Best All-Purpose Flour, plus water, peanut oil, water"
Ricotta Cheesecake with Caramel-Orange Sauce,"graham cracker crumbs, dark brown sugar, all purpose flour, coarse kosher salt, butter, water, organic -milk ricotta cheese, - cream cheese, room temperature, vanilla bean, split lengthwise, sugar, finely grated orange peel, vanilla extract, coarse kosher salt, eggs, Caramel-Orange Sauce, -inch-diameter springform pan with -inch-high sides, Cheesecloth"
Sweet Walnuts,"water; plus for glaze, walnut halves, sugar, peanut oil"
Grapefruit-Campari Granita with Vanilla Whipped Cream,"ruby red or pink grapefruit juice, divided, sugar, Campari, finely grated ruby red or pink grapefruit peel, ruby red or pink grapefruits, chilled heavy whipping cream, chilled crème fraîche or sour cream, powdered sugar, -inch vanilla bean, split lengthwise"
Steamed Sea Bass with Shredded Pork,"sea bass, purchased live, then cleaned by the fishmonger, light soy sauce, white rice wine, peanut oil, sesame oil, white rice vinegar, peeled and shredded ginger, salt, white pepper, pork loin, shredded, sesame oil, light soy sauce, sugar, Onion Oil, finely scallions"
Pork and Poblano Tamale Pie,"poblano chiles*, green bell pepper, cumin seeds, coriander seeds, - frozen corn kernels, thawed, vegetable oil or olive oil, divided, trimmed boneless country-style pork ribs, cut into -inch cubes, Coarse kosher salt, white onions, garlic, seeded jalapeño chiles, oregano, low-salt chicken broth, purchased salsa verde, coarsely cilantro, all purpose flour, yellow cornmeal, baking powder, salt, chili powder, milk, butter, egg, honey, coarsely grated sharp cheddar cheese, divided, Sour cream"
"Roasted Baby Carrots, with Chile, Mint and Orange Glaze","orange juice, olive oil, divided, unseasoned rice vinegar, red pepper, salt, bunches baby carrots, trimmed, peeled, thinly mint, finely grated orange peel"
Smoked Trout Crostini with Grilled Fennel and Red Onion,"-inch-thick diagonal crusty baguette, -inch wedges fennel bulb, fronds reserved for garnish, -inch wedges red onion, Olive oil, - skinless smoked trout fillets, * broken into chunks"
Chicken Liver Crostini with Pickled Eggs,"red wine vinegar, water, shallots, into rounds, thyme, bay, salt, sugar, hard-boiled eggs, peeled, olive oil plus additional for brushing bread, thyme plus thyme, divided, garlic ; peeled, bay, divided, salt, chicken heart and chicken gizzard, trimmed, chicken livers, deveined, butter, finely onion, dry white wine, ruby Port, -inch-thick diagonal baguette"
Eggplant Parmesan Rolls with Swiss Chard and Fresh Mint,"eggplants, trimmed, cut lengthwise into -inch-thick, Coarse kosher salt, Extra-virgin olive oil, - bunch Swiss chard, center ribs removed, eggs, - container -milk ricotta cheese, finely grated Parmesan cheese, divided, mint, freshly black pepper, - to - tomato sauce, - ball water-packed mozzarella, * drained, thinly"
British FlapJacks,"butter, cut into, golden brown sugar, golden syrup*, quick-cooking oats, salt"
Tuna Noodle Casserole with Leeks and Fresh Dill,"butter, thinly leeks, celery seeds, Coarse kosher salt, all purpose flour, milk, half and half, lemon juice, wide egg noodles, coarsely grated Gruyère cheese, dill, - to - albacore tuna, drained, broken into -inch chunks, coarsely potato chips"
Blood Orange Polenta Upside Down-Cake with Whipped Crème Fraîche,"sugar, divided, plus sugar, water, butter, room temperature, divided, unpeeled to blood oranges, plus unbleached all purpose flour, polenta or coarse yellow cornmeal, baking powder, coarse kosher salt, vanilla extract, eggs, separated, milk, chilled crème fraîche*, sugar, Ovenproof -inch-diameter skillet with -inch-high sides"
Buttermilk Spice Cake with Pear Compote and Crème Fraîche,"sugar, lime juice, salt, Bosc pears, peeled, quartered, cored, cut into -inch cubes, plus all purpose flour, cornstarch, salt, baking powder, baking soda, allspice, ginger, black pepper, star anise*, butter, room temperature, sugar, eggs, -inch vanilla bean, split lengthwise, finely grated lime peel, buttermilk, Powdered sugar, crème fraîche**"
Braised Pork Shoulder with Potato Fennel Puree,"fennel bulbs with fronds attached, all fronds trimmed and reserved, each bulb cut through root end into wedges, olive oil, orange juice, finely grated orange peel, fennel seeds, red pepper, - to - boneless pork shoulder, salt, freshly black pepper, low-salt chicken broth, Yukon Gold potatoes, peeled, quartered, extra-virgin olive oil"
"Onion Soup with Sage Brown Butter, Croutons, and Grated Lemon Peel","butter, divided, thinly onions, low-salt chicken broth, -inch torn crustless country-style bread, sage, Sherry wine vinegar, finely grated lemon peel"
Mrs. O'Callaghan's Soda Bread,"Nonstick vegetable oil spray, all purpose flour, wheat flour, brown sugar, baking soda, chilled margarine or butter, cut into -inch cubes, buttermilk"
Key Lime Meringue Tart,"eggs, egg yolks, sugar, Key lime juice or regular lime juice, lemon juice, coarse kosher salt, butter, cut into -inch cubes, butter, room temperature, chilled cream cheese, cut into -inch cubes, sugar, unbleached all purpose flour, coarse kosher salt, egg whites, room temperature, sugar, powdered sugar, vanilla extract, coarse kosher salt, -inch-diameter tart pan with removable bottom Kitchen torch"
Sichuan Beef Noodle Soup with Pickled Mustard Greens,"boneless beef shank, vegetable oil, -inch ginger, peeled, cut into -inch-thick rounds, each smashed with flat side knife, garlic, coarsely, onions, chili bean paste, green onions, trimmed, plus green onions, soy sauce, salt, star anise, -inch cubes Chinese yellow rock sugar or sugar, Sichuan peppercorns, plum tomatoes, each cut into wedges, Freshly white pepper or black pepper, eggless Chinese wheat noodles, baby bok choy, each halved lengthwise, bottom inches trimmed, rinsed, cilantro, Pickled Mustard Greens"
Homemade Pappardelle with Bolognese Sauce,"butter, extra-virgin olive oil, onions, celery, carrot, garlic, beef, antelope sausages or spicy Italian sausages, casings removed, venison or beef, bacon, milk, dry white wine, tomato paste, Homemade Pappardelle, freshly grated Parmesan cheese plus additional for passing"
Tangerine and Prosecco Sorbet,"sugar, water, chilled strained tangerine juice, chilled Prosecco, finely grated tangerine peel, Ice cream maker"
Country Captain with Cauliflower and Peas,"coriander seeds, fennel seeds, cumin seeds, black peppercorns, cardamom seeds, -inch cinnamon, turmeric, cayenne pepper, peanut oil or vegetable oil, divided, head cauliflower, trimmed, cut into -inch florets, Coarse kosher salt, skinless boneless chicken thighs, trimmed, cut into - to -inch, bunch green onions, dark green and white parts separately, finely grated peeled ginger, garlic, low-salt chicken broth, tomatoes with added puree, cherries, finely, smooth peanut butter, frozen petite peas, coconut shavings, * lightly toasted"
Broiled Oysters with Garlic Breadcrumbs,"breadcrumbs made from crustless white bread, butter, garlic, pressed, Pernod or other anise-flavored liqueur, oysters, freshly shucked and reserved on half shell with juices, Lemon wedges"
"Arugula Salad with Caramelized Onions, Goat Cheese, and Candied Walnuts","olive oil, red onions, thinly, balsamic vinegar, golden brown sugar, water, butter, salt, walnut halves, -inch cubes crustless country bread, extra-virgin olive oil, extra-virgin olive oil, balsamic vinegar, - baby arugula, - soft goat cheese, broken into -inch, chilled"
"Eggs in Purgatory with Artichoke Hearts, Potatoes and Capers","extra-virgin olive oil, onion, thyme, red pepper, Coarse kosher salt, - to - frozen artichoke hearts, thawed, drained, garlic, - tomatoes in juice, red-skinned or white-skinned potatoes, peeled, cut into -inch cubes, drained capers, eggs, freshly grated Parmesan cheese"
Sautéed Beef with White Wine and Rosemary,"boneless sirloin steak, all-purpose flour, olive oil, divided, garlic, thinly, rosemary, dry white wine"
Golden Raisin Oat Bran Muffins,"all-purpose flour, oat bran, sugar, baking powder, baking soda, salt, cinnamon, well-shaken buttermilk, mild honey, butter, and cooled, eggs, golden raisins, Equipment: a muffin pan with muffin"
Frisée and Radish Salad with Hazelnut Dressing,"vegetable oil, divided, hazelnuts, coarsely, bacon, Sherry vinegar or red-wine vinegar, lemon juice, heads frisée, radishes, thinly"
Rosemary and Garlic Roasted Potatoes,"boiling potatoes, peeled and cut into -inch-thick wedges, olive oil, to rosemary, garlic, smashed and peeled"
Calamari-Olive Salad,"cleaned squid, Heaping niçoise olives, finely, finely celery, celery, thinly scallion, grated lemon zest, lemon juice, or to taste, extra-virgin olive oil"
Amaretti Tiramisu,"eggs, separated, sugar, divided, mascarpone at room temperature, salt, chilled heavy cream, brewed espresso or very strong brewed coffee, cooled to room temperature, amaretti"
Pineapple-Glazed Chicken with Jalapeño Salsa,"pineapple juice, brown sugar, yellow mustard, -inch cubes pineapple, finely red bell pepper, cilantro, finely red onion, canned jalapeño chiles, drained, coarsely, boneless chicken breast halves with skin"
Fennel and Celery Salad with Pumpkin Seeds,"celery stalks, cut crosswise into paper-thin, fennel bulb, trimmed, halved vertically, paper-thin, Italian parsley, toasted pumpkin seeds, olive oil, lemon juice, Parmesan cheese shavings"
Chicken Parmesan Burgers,"-inch-thick French bread ; toasted, finely grated Parmesan cheese, basil, divided, plus basil, purchased refrigerated marinara sauce, chicken, extra-virgin olive oil, divided, grated onion, salt, -milk mozzarella cheese, thinly, radicchio"
Spice-Rubbed Steak with White Beans and Cherry Tomatoes,"chili powder, cumin, divided, red pepper, oregano, Coarse kosher salt, - top sirloin steak, olive oil, divided, -pint container cherry tomatoes, garlic, pressed, - white beans, drained"
Falafel with Hummus,"- garbanzo beans, drained, onion, all purpose flour plus more for dredging, salt-free garlic pepper spice blend, cumin, baking powder, salt, Italian parsley, Vegetable oil, Purchased hummus"
"Chocolate, Almond, and Banana Parfaits","bittersweet chocolate chips, heavy whipping cream, divided, mascarpone cheese, amaretto, sugar, -inch-thick angel food cake, -inch-thick diagonal banana, almonds, toasted"
"Barley Soup with Greens, Fennel, Lemon, and Dill","water, Light Vegetable Broth or good-quality canned vegetable broth, divided, pearl barley, rinsed, fine sea salt plus additional for sprinkling, extra-virgin olive oil plus additional for drizzling, onions, coarsely stemmed kale, coarsely stemmed chard, spinach, green onions, dill, fennel fronds, mint, to lemon juice, - feta cheese, crumbled"
Pancetta-Wrapped Dates Stuffed with Manchego Cheese and Mint,"Medjool dates, mint, - Manchego cheese, * cut into twenty x x -inch strips, - thinly pancetta"
Chipotle Onion Dip with Garlic Pita Chips,"butter, extra-virgin olive oil, onions, halved through root end, thinly lengthwise, Fine sea salt, - container sour cream, - container crème fraîche*, fromage blanc or cream cheese, chipotle chile powder**, Garlic Pita Chips"
Coconut Shrimp,"panko *, unsweetened shredded coconut**, finely grated lime peel, salt, freshly black pepper, eggs, uncooked shrimp, peeled, deveined, tails left intact, Peanut oil"
Mushroom and Leek Soup with Parsley Dumplings,"water, porcini mushrooms*, extra-virgin olive oil, divided, garlic, crimini mushrooms, finely thyme, Fine sea salt, dry Sherry, onion, thinly leeks, Light Vegetable Broth or good-quality canned vegetable broth, cayenne pepper, low-fat cottage cheese, butter, room temperature, divided, eggs, room temperature, all purpose flour, divided, fine sea salt, nutmeg, finely grated Parmesan cheese, finely Italian parsley"
Tofu Dengaku,"sake, divided, white miso, sugar, divided, finely grated yuzu peel, shiso, red miso, water, x -inch dashi-kombu, shaved bonito flakes, light soy sauce, mirin, extra-firm tofu, well drained, - to -inch-long wooden skewers, Toasted sesame seeds"
Caramelized Cashews with Cayenne,"Nonstick vegetable oil spray, natural cashews, pure maple syrup, cumin seeds, fine sea salt, cayenne pepper"
"Udon with Mushroom Broth, Cabbage, and Yams","Light Vegetable Broth or good-quality canned vegetable broth, water, coarsely cilantro, shiitake mushrooms, rinsed, thinly peeled ginger, lemongrass stalks, outer dark layers removed, all but bottom inches cut off and discarded, -inch strips kombu, tamari soy sauce, unseasoned rice vinegar, -inch cubes peeled yams, snow peas, trimmed, -inch-wide crosswise cored Napa cabbage, slender carrots, peeled, thinly on diagonal, Japanese-style udon noodles or soba noodles, green onions, matchstick-size strips peeled ginger, to semi-firm tofu, cut into -inch cubes, Sambal oelek, Tamari soy sauce"
Tomatillo-Avocado Salsa with Tortilla Chips,"tomatillos, * husked, rinsed, finely, avocados, halved, pitted, peeled, finely, finely red onion, cilantro, lime juice, olive oil, serrano chiles, seeded, Purchased tortilla chips"
Mini Sage-and-Fontina Grilled Cheese Sandwiches,"butter, sage plus sage, x x -inch country-style bread, crust removed, coarsely grated Fontina cheese, finely grated Parmesan cheese"
